Time,BAC,BDT,CLIFTON_COURT,FRK_FRANKSTRACT,GLCGS,GLE,MDM,MHO,MSD,MTB,OLD,ORCCF,PPT,RINDG,SJG,UNI,VIC,VNI,WDCUT
02May2004,6.966,1.753,11.350,4.842,12.475,10.992,9.343,51.388,1.537,15.365,30.625,12.937,5.798,2.908,2.093,3.472,11.646,9.564,8.438
03May2004,7.044,1.903,11.646,4.940,12.468,11.428,9.277,50.172,1.608,15.238,30.611,12.954,5.898,2.883,2.285,3.739,11.769,9.773,8.566
04May2004,6.922,1.895,11.922,5.025,12.990,11.677,8.993,48.343,1.584,15.225,30.988,13.423,5.972,2.990,2.305,3.774,11.260,9.804,8.419
05May2004,6.956,1.742,12.113,5.101,13.106,12.058,8.794,47.586,1.366,15.260,30.864,13.465,6.068,3.084,2.170,3.566,11.029,9.795,8.437
06May2004,7.147,1.576,12.315,5.176,13.039,12.014,8.695,45.499,1.379,15.549,30.096,13.269,6.156,3.137,1.891,3.250,10.975,9.881,8.635
07May2004,7.625,1.614,12.423,5.257,12.993,12.124,8.767,41.168,1.277,16.014,29.053,13.204,6.245,3.074,1.950,3.354,11.446,9.317,9.211
08May2004,8.045,1.396,12.484,5.352,12.949,12.271,8.870,40.906,1.162,17.044,28.039,13.258,6.309,2.860,1.722,3.073,11.802,9.251,9.779
09May2004,7.968,1.422,12.637,5.449,13.173,12.022,8.804,48.329,1.267,17.229,28.002,13.558,6.342,2.760,1.684,2.983,11.407,9.232,9.864
10May2004,8.137,1.494,12.804,5.539,13.077,11.487,8.858,48.660,1.249,17.311,28.425,13.508,6.355,2.752,1.816,3.169,11.449,9.221,10.123
11May2004,8.444,1.366,12.975,5.633,12.508,11.331,9.001,50.433,1.138,18.042,28.690,13.128,6.375,2.601,1.696,2.959,11.681,9.253,10.481
12May2004,8.713,1.372,13.039,5.731,12.244,11.367,9.203,54.001,1.244,18.033,28.859,12.965,6.338,2.645,1.642,2.874,12.227,9.051,10.734
13May2004,8.483,1.616,13.191,5.810,13.001,11.206,9.118,56.378,1.465,17.191,29.435,13.937,6.284,2.688,1.893,3.223,11.548,9.192,10.497
14May2004,8.484,1.809,13.398,5.870,12.874,10.898,9.156,53.574,1.571,16.403,30.209,13.680,6.254,2.648,2.150,3.605,11.543,9.196,10.436
15May2004,8.535,1.862,13.570,5.917,12.687,11.175,9.193,51.770,1.580,15.986,30.455,13.413,6.225,2.791,2.235,3.707,11.672,9.112,10.445
16May2004,8.685,1.838,13.679,5.953,12.748,11.945,9.252,51.096,1.530,16.012,30.092,13.429,6.204,2.982,2.211,3.668,11.968,9.000,10.607
17May2004,8.519,1.794,13.818,5.976,13.435,12.335,9.123,50.207,1.492,16.061,29.659,14.193,6.181,3.156,2.148,3.584,11.577,9.032,10.504
18May2004,8.689,1.707,13.900,6.005,13.846,12.560,9.126,48.879,1.416,16.486,29.017,14.518,6.184,3.158,2.057,3.499,11.638,8.838,10.700
19May2004,8.569,1.733,14.028,6.037,14.122,12.525,9.025,51.420,1.568,16.477,28.246,14.681,6.169,3.166,2.036,3.478,11.335,8.871,10.621
20May2004,8.573,2.020,14.104,6.061,14.246,12.606,9.004,50.296,1.708,16.154,28.196,14.708,6.159,3.186,2.255,3.873,11.385,8.843,10.613
21May2004,8.438,2.087,14.208,6.080,14.227,12.204,8.902,45.092,1.692,16.431,28.285,14.644,6.146,3.110,2.412,3.759,11.107,8.938,10.530
22May2004,8.574,2.223,14.282,6.092,13.618,6.840,8.980,22.680,1.756,19.054,26.048,14.268,6.143,3.229,2.857,2.489,11.439,9.113,10.721
23May2004,8.688,2.328,14.338,6.103,10.539,4.331,9.105,18.203,1.920,23.097,15.011,11.802,6.155,3.602,3.252,2.705,11.938,9.259,10.912
24May2004,8.765,2.558,14.362,6.116,7.807,4.102,9.219,19.271,2.201,26.934,10.554,9.854,6.200,3.896,3.565,2.979,12.110,9.414,11.084
25May2004,8.773,2.843,14.335,6.133,6.528,4.306,9.314,20.639,2.383,29.438,9.847,9.079,6.237,4.176,3.938,3.367,12.312,9.644,11.207
26May2004,8.842,3.192,14.266,6.152,6.293,4.537,9.415,21.370,2.652,31.049,9.907,9.233,6.316,4.453,4.372,3.546,12.496,9.957,11.206
27May2004,8.990,3.405,14.213,6.179,6.710,4.701,9.578,22.937,2.093,31.456,10.279,9.309,6.437,4.739,4.794,3.824,12.812,10.207,11.194
28May2004,9.019,2.790,14.093,6.212,6.852,4.389,9.563,18.395,0.825,35.620,8.994,9.615,6.629,4.820,4.557,2.199,12.791,10.510,11.149
29May2004,8.925,1.828,14.019,6.238,8.348,3.326,9.741,17.692,1.920,38.985,8.738,11.772,6.839,5.007,4.766,1.550,12.638,10.253,10.974
30May2004,8.443,2.319,14.214,6.273,9.040,3.547,9.570,35.466,3.193,34.960,10.188,13.581,7.135,5.750,5.326,4.053,11.506,10.801,10.451
31May2004,7.844,3.926,14.328,6.311,9.909,5.022,9.554,44.486,3.379,27.750,10.026,13.195,7.214,6.440,5.828,4.565,11.052,11.262,9.535
01Jun2004,7.541,4.922,14.247,6.326,9.702,5.567,9.521,46.897,3.540,22.117,10.369,11.774,7.030,7.067,6.627,4.775,10.708,11.487,8.825
02Jun2004,7.384,5.536,13.906,6.318,9.171,5.787,9.316,53.587,3.766,18.570,11.208,10.841,6.906,7.642,7.613,4.948,10.563,11.316,8.409
03Jun2004,7.119,5.858,13.693,6.285,8.134,6.850,8.859,44.937,3.995,17.582,18.489,9.857,6.441,7.621,8.337,5.269,10.813,11.359,8.067
04Jun2004,6.614,6.294,13.694,6.171,7.942,6.732,8.134,23.103,4.116,19.026,28.033,8.770,5.993,10.863,9.066,5.502,9.793,10.229,6.823
05Jun2004,6.328,6.012,13.338,5.955,8.366,7.098,7.860,20.853,4.314,19.572,30.599,8.214,5.492,15.837,9.534,5.775,9.352,8.876,6.610
06Jun2004,6.187,5.682,13.147,5.725,8.365,7.764,7.437,24.895,4.358,20.604,34.741,8.361,5.276,15.202,9.419,6.318,9.585,8.338,6.622
07Jun2004,6.255,5.581,13.025,5.566,8.443,8.823,6.296,25.900,4.289,22.077,41.205,8.615,5.266,12.762,8.737,6.524,9.417,7.929,6.862
08Jun2004,6.322,5.331,12.785,5.484,8.998,9.588,5.719,19.731,4.073,26.094,47.322,9.498,5.485,11.109,7.840,6.461,3.365,8.182,7.130
09Jun2004,6.396,5.137,12.519,5.446,9.465,10.372,5.657,17.094,3.915,30.530,51.401,8.940,5.797,9.833,7.279,6.070,1.237,8.395,7.187
10Jun2004,6.395,4.858,11.837,5.430,8.779,11.206,6.247,14.891,4.119,34.990,53.601,5.860,6.094,9.282,6.877,6.104,0.974,8.464,7.129
11Jun2004,6.377,5.114,10.916,5.422,8.471,11.212,7.160,16.310,4.555,36.240,54.963,5.358,6.197,9.326,6.725,6.688,1.410,8.421,7.021
12Jun2004,6.271,5.569,10.146,5.411,8.581,11.140,7.987,26.783,5.037,31.574,55.879,5.873,6.172,9.729,6.960,7.528,0.789,8.416,6.965
13Jun2004,6.168,6.057,9.308,5.398,8.740,12.411,8.046,28.385,5.150,27.183,56.943,5.986,6.069,10.237,7.335,8.056,1.290,8.397,6.816
14Jun2004,6.148,6.449,8.748,5.390,8.971,14.005,7.457,31.194,5.331,22.118,57.275,6.145,5.933,10.690,8.051,7.807,2.663,8.498,6.766
15Jun2004,6.114,6.828,8.423,5.390,9.193,13.752,7.305,33.054,5.486,18.336,57.390,6.508,5.788,11.165,8.803,7.630,3.551,8.801,6.719
16Jun2004,6.066,7.316,8.177,5.394,9.578,12.560,7.533,36.662,5.619,16.104,57.965,6.934,5.626,11.852,9.539,7.706,4.379,9.145,6.597
17Jun2004,6.212,7.719,8.122,5.401,10.123,11.796,6.652,35.782,5.879,15.820,58.703,7.538,5.759,12.735,10.168,7.701,4.256,9.363,6.779
