Time,BAC,BDT,CLIFTON_COURT,FRK_FRANKSTRACT,GLCGS,GLE,MDM,MHO,MSD,MTB,OLD,ORCCF,PPT,RINDG,SJG,UNI,VIC,VNI,WDCUT
09May1990,87.741,0.000,81.247,88.983,46.914,0.002,83.695,27.518,0.000,79.700,0.018,63.395,88.965,15.236,0.322,0.000,83.099,83.789,86.759
10May1990,87.615,0.000,81.061,88.839,40.454,0.002,83.478,23.891,0.000,79.018,0.016,58.696,88.560,14.085,0.300,0.000,82.998,83.384,86.626
11May1990,87.397,0.000,80.975,88.713,42.623,0.002,83.220,21.683,0.000,78.541,0.015,58.449,88.160,13.018,0.275,0.000,82.792,83.212,86.382
12May1990,87.266,0.000,80.040,88.621,43.799,0.002,82.884,20.299,0.000,78.005,0.017,59.637,87.802,11.485,0.228,0.000,82.661,82.728,86.207
13May1990,87.181,0.000,78.879,88.564,46.493,0.002,82.447,22.044,0.000,77.831,0.018,60.903,87.592,10.592,0.227,0.000,82.526,82.427,86.131
14May1990,87.096,0.000,78.195,88.532,49.069,0.002,81.889,22.172,0.000,77.940,0.018,62.070,87.610,10.315,0.242,0.000,82.244,82.641,86.107
15May1990,86.945,0.000,77.528,88.528,43.554,0.001,81.340,19.758,0.000,77.221,0.016,58.011,87.171,9.019,0.133,0.000,81.847,82.741,85.918
16May1990,87.067,0.000,77.367,88.536,38.914,0.001,80.461,24.702,0.000,77.189,0.014,54.502,87.300,8.015,0.092,0.000,81.448,84.002,85.917
17May1990,87.053,0.000,77.713,88.580,40.138,0.001,79.392,33.739,0.000,77.965,0.014,60.308,87.366,7.009,0.108,0.000,80.771,84.408,86.206
18May1990,87.104,0.000,77.945,88.661,41.977,0.002,77.903,41.859,0.000,78.589,0.014,63.913,87.075,6.358,0.095,0.000,79.760,85.710,86.271
19May1990,87.256,0.000,78.124,88.777,49.745,0.028,76.528,48.858,0.000,78.831,0.014,71.280,87.601,6.639,0.136,0.000,78.585,86.625,86.490
20May1990,87.338,0.000,78.239,88.914,48.125,0.125,75.649,49.612,0.000,78.161,0.034,71.062,87.803,6.959,0.155,0.000,77.155,86.603,86.582
21May1990,87.343,0.000,78.314,89.047,48.295,0.297,75.182,48.751,0.000,77.302,0.111,70.210,87.962,6.949,0.139,0.000,76.064,86.837,86.575
22May1990,87.382,0.000,78.394,89.179,52.098,0.420,74.891,50.458,0.000,76.043,0.228,69.092,88.653,7.634,0.206,0.000,75.231,87.263,86.666
23May1990,87.353,0.000,78.463,89.283,53.571,0.364,75.202,49.182,0.000,74.856,0.294,67.363,89.180,8.531,0.270,0.000,74.756,87.997,86.581
24May1990,87.238,0.001,78.481,89.347,51.047,0.212,75.561,45.350,0.000,73.914,0.243,64.444,89.184,8.852,0.282,0.000,74.797,88.649,86.301
25May1990,87.090,0.001,78.423,89.395,51.273,0.102,75.784,42.330,0.000,73.210,0.164,65.033,89.308,9.003,0.273,0.000,75.007,89.340,86.133
26May1990,86.924,0.000,78.374,89.459,51.242,0.055,75.940,39.611,0.000,72.698,0.105,64.852,89.400,8.938,0.255,0.000,75.251,89.563,85.889
27May1990,87.019,0.000,78.370,89.554,52.005,0.030,75.973,37.791,0.000,72.407,0.066,64.911,89.803,9.217,0.268,0.000,75.601,89.966,85.596
28May1990,86.898,0.000,78.382,89.661,45.028,0.013,75.612,26.319,0.000,66.839,0.035,58.412,89.812,8.776,0.188,0.000,74.529,89.719,85.217
29May1990,86.310,0.000,78.314,89.731,30.192,0.005,74.686,11.085,0.000,51.630,0.029,50.170,88.778,6.123,0.020,0.000,72.327,89.257,84.405
30May1990,86.152,0.000,78.212,89.771,30.787,0.003,73.467,3.361,0.000,35.544,0.034,51.886,88.125,3.807,0.004,0.000,71.225,88.652,83.548
31May1990,85.900,0.000,78.128,89.818,28.908,0.002,72.149,1.103,0.000,22.485,0.029,50.281,87.000,2.700,0.007,0.000,69.557,87.516,83.176
01Jun1990,85.851,0.000,77.960,89.849,30.759,0.002,70.864,0.251,0.000,16.053,0.024,53.880,86.079,2.086,0.010,0.000,68.872,85.970,83.701
02Jun1990,86.269,0.000,77.658,89.903,39.641,0.002,70.258,0.344,0.000,22.536,0.018,65.434,86.125,1.932,0.017,0.000,70.374,85.870,84.486
03Jun1990,86.581,0.000,77.471,90.026,45.490,0.001,69.938,2.347,0.000,49.614,0.010,68.635,86.594,2.149,0.038,0.000,69.732,86.732,85.201
04Jun1990,86.824,0.000,77.304,90.171,47.950,0.001,70.221,5.512,0.000,61.611,0.006,67.310,87.083,2.480,0.052,0.000,69.454,86.704,85.580
05Jun1990,87.057,0.000,77.106,90.321,50.207,0.000,70.371,11.378,0.000,65.079,0.003,64.949,87.769,2.838,0.064,0.000,69.466,86.573,85.847
06Jun1990,87.478,0.000,76.816,90.487,49.530,0.000,70.313,20.678,0.000,66.289,0.002,62.838,88.528,3.437,0.090,0.000,69.783,86.747,86.297
07Jun1990,87.478,0.000,76.648,90.639,51.307,0.000,70.294,26.281,0.000,66.717,0.001,63.576,88.891,4.025,0.101,0.000,69.669,86.529,86.410
08Jun1990,87.302,0.000,76.491,90.756,52.737,0.000,70.460,28.822,0.000,66.841,0.001,63.125,89.182,4.799,0.112,0.000,69.598,86.208,86.278
09Jun1990,87.109,0.000,76.318,90.831,54.505,0.005,70.863,28.757,0.000,66.886,0.001,63.878,89.498,5.967,0.129,0.000,69.526,85.869,85.924
10Jun1990,86.935,0.000,76.143,90.860,51.415,0.006,71.437,26.497,0.000,66.499,0.001,61.141,89.322,6.697,0.124,0.000,69.738,85.501,85.548
11Jun1990,86.955,0.000,75.982,90.842,44.918,0.000,71.738,24.102,0.000,65.873,0.001,56.725,88.873,6.206,0.098,0.000,70.125,85.102,85.266
12Jun1990,87.025,0.000,75.826,90.802,46.867,0.000,71.947,25.799,0.000,66.160,0.001,58.335,88.821,6.199,0.099,0.000,70.580,84.710,85.420
